,Survived,Pclass,Sex,Age,Fare,C,Q,S,Group,Master,Miss,Mr,Mrs,AgeGroup
0,0,1,0.0,22.0,7.25,0,0,1,1.0,0,0,1,0,20
1,1,3,1.0,38.0,71.2833,1,0,0,1.0,0,0,0,1,30
2,1,1,1.0,26.0,7.925,0,0,1,0.0,0,1,0,0,20
3,1,3,1.0,35.0,53.1,0,0,1,1.0,0,0,0,1,30
4,0,1,0.0,35.0,8.05,0,0,1,0.0,0,0,1,0,30
5,0,1,0.0,29.550681762601315,8.4583,0,1,0,0.0,0,0,1,0,20
6,0,3,0.0,54.0,51.8625,0,0,1,0.0,0,0,1,0,50
7,0,1,0.0,2.0,21.075,0,0,1,1.0,1,0,0,0,1
8,1,1,1.0,27.0,11.1333,0,0,1,1.0,0,0,0,1,20
9,1,2,1.0,14.0,30.0708,1,0,0,1.0,0,0,0,1,10
10,1,1,1.0,4.0,16.7,0,0,1,1.0,0,1,0,0,1
11,1,3,1.0,58.0,26.55,0,0,1,0.0,0,1,0,0,50
12,0,1,0.0,20.0,8.05,0,0,1,0.0,0,0,1,0,10
13,0,1,0.0,39.0,31.275,0,0,1,1.0,0,0,1,0,30
14,0,1,1.0,14.0,7.8542,0,0,1,0.0,0,1,0,0,10
15,1,2,1.0,55.0,16.0,0,0,1,0.0,0,0,0,1,50
16,0,1,0.0,2.0,29.125,0,1,0,1.0,1,0,0,0,1
17,1,2,0.0,34.20910602740714,13.0,0,0,1,0.0,0,0,1,0,30
18,0,1,1.0,31.0,18.0,0,0,1,1.0,0,0,0,1,30
19,1,1,1.0,45.70346087599857,7.225,1,0,0,0.0,0,0,0,1,40
20,0,2,0.0,35.0,26.0,0,0,1,1.0,0,0,1,0,30
21,1,2,0.0,34.0,13.0,0,0,1,0.0,0,0,1,0,30
22,1,1,1.0,15.0,8.0292,0,1,0,0.0,0,1,0,0,10
23,1,3,0.0,28.0,35.5,0,0,1,0.0,0,0,1,0,20
24,0,1,1.0,8.0,21.075,0,0,1,1.0,0,1,0,0,1
25,1,1,1.0,38.0,31.3875,0,0,1,1.0,0,0,0,1,30
26,0,1,0.0,29.550681762601315,7.225,1,0,0,0.0,0,0,1,0,20
27,0,3,0.0,19.0,263.0,0,0,1,1.0,0,0,1,0,10
28,1,1,1.0,22.840274006657104,7.8792,0,1,0,0.0,0,1,0,0,20
29,0,1,0.0,29.550681762601315,7.8958,0,0,1,0.0,0,0,1,0,20
30,0,3,0.0,40.0,27.7208,1,0,0,0.0,0,0,1,0,30
31,1,3,1.0,39.916408721218616,146.5208,1,0,0,1.0,0,0,0,1,30
32,1,1,1.0,22.840274006657104,7.75,0,1,0,0.0,0,1,0,0,20
33,0,2,0.0,66.0,10.5,0,0,1,0.0,0,0,1,0,60
34,0,3,0.0,28.0,82.1708,1,0,0,1.0,0,0,1,0,20
35,0,3,0.0,42.0,52.0,0,0,1,1.0,0,0,1,0,40
36,1,1,0.0,29.550681762601315,7.2292,1,0,0,0.0,0,0,1,0,20
37,0,1,0.0,21.0,8.05,0,0,1,0.0,0,0,1,0,20
38,0,1,1.0,18.0,18.0,0,0,1,1.0,0,1,0,0,10
39,1,1,1.0,14.0,11.2417,1,0,0,1.0,0,1,0,0,10
40,0,1,1.0,40.0,9.475,0,0,1,1.0,0,0,0,1,30
41,0,2,1.0,27.0,21.0,0,0,1,1.0,0,0,0,1,20
42,0,1,0.0,29.550681762601315,7.8958,1,0,0,0.0,0,0,1,0,20
43,1,2,1.0,3.0,41.5792,1,0,0,1.0,0,1,0,0,1
44,1,1,1.0,19.0,7.8792,0,1,0,0.0,0,1,0,0,10
45,0,1,0.0,29.550681762601315,8.05,0,0,1,0.0,0,0,1,0,20
46,0,1,0.0,26.643349472847486,15.5,0,1,0,1.0,0,0,1,0,20
47,1,1,1.0,22.840274006657104,7.75,0,1,0,0.0,0,1,0,0,20
48,0,1,0.0,26.643349472847486,21.6792,1,0,0,1.0,0,0,1,0,20
49,0,1,1.0,18.0,17.8,0,0,1,1.0,0,0,0,1,10
50,0,1,0.0,7.0,39.6875,0,0,1,1.0,1,0,0,0,1
51,0,1,0.0,21.0,7.8,0,0,1,0.0,0,0,1,0,20
52,1,3,1.0,49.0,76.7292,1,0,0,1.0,0,0,0,1,40
53,1,2,1.0,29.0,26.0,0,0,1,1.0,0,0,0,1,20
54,0,3,0.0,65.0,61.9792,1,0,0,1.0,0,0,1,0,60
55,1,3,0.0,46.049578020368024,35.5,0,0,1,0.0,0,0,1,0,40
56,1,2,1.0,21.0,10.5,0,0,1,0.0,0,1,0,0,20
57,0,1,0.0,28.5,7.2292,1,0,0,0.0,0,0,1,0,20
58,1,2,1.0,5.0,27.75,0,0,1,1.0,0,1,0,0,1
59,0,1,0.0,11.0,46.9,0,0,1,1.0,1,0,0,0,10
60,0,1,0.0,22.0,7.2292,1,0,0,0.0,0,0,1,0,20
62,0,3,0.0,45.0,83.475,0,0,1,1.0,0,0,1,0,40
63,0,1,0.0,4.0,27.9,0,0,1,1.0,1,0,0,0,1
64,0,3,0.0,46.049578020368024,27.7208,1,0,0,0.0,0,0,1,0,40
65,1,1,0.0,5.310913898963,15.2458,1,0,0,1.0,1,0,0,0,1
66,1,2,1.0,29.0,10.5,0,0,1,0.0,0,0,0,1,20
67,0,1,0.0,19.0,8.1583,0,0,1,0.0,0,0,1,0,10
68,1,1,1.0,17.0,7.925,0,0,1,1.0,0,1,0,0,10
69,0,1,0.0,26.0,8.6625,0,0,1,1.0,0,0,1,0,20
70,0,2,0.0,32.0,10.5,0,0,1,0.0,0,0,1,0,30
71,0,1,1.0,16.0,46.9,0,0,1,1.0,0,1,0,0,10
72,0,2,0.0,21.0,73.5,0,0,1,1.0,0,0,1,0,20
73,0,1,0.0,26.0,14.4542,1,0,0,1.0,0,0,1,0,20
74,1,1,0.0,32.0,56.4958,0,0,1,1.0,0,0,1,0,30
75,0,1,0.0,25.0,7.65,0,0,1,0.0,0,0,1,0,20
76,0,1,0.0,29.550681762601315,7.8958,0,0,1,0.0,0,0,1,0,20
77,0,1,0.0,29.550681762601315,8.05,0,0,1,0.0,0,0,1,0,20
78,1,2,0.0,0.83,29.0,0,0,1,1.0,1,0,0,0,1
79,1,1,1.0,30.0,12.475,0,0,1,1.0,0,1,0,0,20
80,0,1,0.0,22.0,9.0,0,0,1,0.0,0,0,1,0,20
81,1,1,0.0,29.0,9.5,0,0,1,0.0,0,0,1,0,20
82,1,1,1.0,22.840274006657104,7.7875,0,1,0,0.0,0,1,0,0,20
83,0,3,0.0,28.0,47.1,0,0,1,0.0,0,0,1,0,20
84,1,2,1.0,17.0,10.5,0,0,1,0.0,0,1,0,0,10
85,1,1,1.0,33.0,15.85,0,0,1,1.0,0,0,0,1,30
86,0,1,0.0,16.0,34.375,0,0,1,1.0,0,0,1,0,10
87,0,1,0.0,29.550681762601315,8.05,0,0,1,0.0,0,0,1,0,20
88,1,3,1.0,23.0,263.0,0,0,1,1.0,0,1,0,0,20
89,0,1,0.0,24.0,8.05,0,0,1,0.0,0,0,1,0,20
90,0,1,0.0,29.0,8.05,0,0,1,0.0,0,0,1,0,20
91,0,1,0.0,20.0,7.8542,0,0,1,0.0,0,0,1,0,10
92,0,3,0.0,46.0,61.175,0,0,1,1.0,0,0,1,0,40
93,0,1,0.0,26.0,20.575,0,0,1,1.0,0,0,1,0,20
94,0,1,0.0,59.0,7.25,0,0,1,0.0,0,0,1,0,50
95,0,1,0.0,29.550681762601315,8.05,0,0,1,0.0,0,0,1,0,20
96,0,3,0.0,71.0,34.6542,1,0,0,0.0,0,0,1,0,70
97,1,3,0.0,23.0,63.3583,1,0,0,1.0,0,0,1,0,20
